id,population,known_ida,sexb,hybrid_statusc,genome_wide_anubis_ancestryd,nodup_mapq10_coveraged,percent_reads_mappedd,BioProject_WGSEQ,Paper_WGSEQ,Accession_WGSEQ,Paper_RNASEQ_1 (Tung_et_al_2015_eLIFE; PRJNA269070),Paper_RNASEQ_2 (Lea_et_al_2018_PNAS; PRJNA480672),Paper_RNASEQ_3 (Anderson_et_al_bioRxiv; PRJNA731520)
AMB_233,Amboseli,TRUE,M,unassigned,0.445,1.120,98.82,PRJNA755322,this_study,SAMN20815002,SRR1688486,NA,NA
AMB_234,Amboseli,TRUE,F,historical,0.293,1.040,99.31,PRJNA755322,this_study,SAMN20815246,NA,SRR7510426,NA
AMB_235,Amboseli,TRUE,F,recent,0.392,1.352,99.30,PRJNA755322,this_study,SAMN20815048,SRR1688515,NA,NA
AMB_236,Amboseli,TRUE,M,historical,0.285,1.353,99.28,PRJNA755322,this_study,SAMN20815281,NA,NA,NA
AMB_237,Amboseli,TRUE,F,historical,0.279,1.243,99.26,PRJNA755322,this_study,SAMN20815300,NA,SRR7510445,NA
AMB_238,Amboseli,TRUE,F,recent,0.598,1.236,99.38,PRJNA755322,this_study,SAMN20814917,SRR1688503,SRR7510438,NA
AMB_239,Amboseli,TRUE,M,historical,0.275,1.347,96.67,PRJNA755322,this_study,SAMN20815312,NA,NA,NA
AMB_240,Amboseli,TRUE,F,historical,0.284,1.246,99.28,PRJNA755322,this_study,SAMN20815287,NA,NA,NA
AMB_241,Amboseli,TRUE,F,recent,0.378,1.028,98.31,PRJNA755322,this_study,SAMN20815059,NA,NA,SRR14608211
AMB_242,Amboseli,TRUE,F,historical,0.344,0.874,99.28,PRJNA755322,this_study,SAMN20815090,NA,NA,NA
AMB_243,Amboseli,TRUE,F,recent,0.408,0.763,99.24,PRJNA755322,this_study,SAMN20815036,NA,NA,SRR14608254
AMB_244,Amboseli,TRUE,F,historical,0.317,1.320,98.51,PRJNA755322,this_study,SAMN20815136,NA,NA,NA
AMB_245,Amboseli,TRUE,F,historical,0.287,1.245,99.31,PRJNA755322,this_study,SAMN20815275,NA,NA,NA
AMB_246,Amboseli,TRUE,F,recent,0.491,1.095,99.30,PRJNA755322,this_study,SAMN20814954,NA,SRR7510436,NA
AMB_247,Amboseli,TRUE,M,historical,0.267,1.361,99.29,PRJNA755322,this_study,SAMN20815318,NA,NA,NA
AMB_248,Amboseli,TRUE,M,historical,0.272,1.603,99.04,PRJNA755322,this_study,SAMN20815316,NA,NA,NA
AMB_249,Amboseli,TRUE,F,historical,0.267,1.197,99.29,PRJNA755322,this_study,SAMN20815319,NA,NA,NA
AMB_250,Amboseli,TRUE,F,historical,0.333,0.950,99.26,PRJNA755322,this_study,SAMN20815104,NA,NA,NA
AMB_251,Amboseli,TRUE,F,historical,0.297,1.302,99.30,PRJNA755322,this_study,SAMN20815224,NA,NA,NA
AMB_252,Amboseli,TRUE,F,historical,0.343,0.984,86.46,PRJNA755322,this_study,SAMN20815091,NA,NA,NA
AMB_253,Amboseli,TRUE,M,historical,0.342,0.766,99.28,PRJNA755322,this_study,SAMN20815093,NA,NA,NA
AMB_254,Amboseli,TRUE,M,unassigned,0.358,1.069,99.27,PRJNA755322,this_study,SAMN20815078,NA,NA,NA
AMB_255,Amboseli,TRUE,M,recent,0.419,1.028,99.21,PRJNA755322,this_study,SAMN20815031,NA,NA,NA
