Seq-ID,Local ID,Genus,Species,Origin,GPS coordinates (latitude),GPS coordinates (longitude),Sex
PD_0238,19LMF8280815,Papio,anubis,"Lake Manyara, Tanzania",S03.40273,E035.81382,F
PD_0239,20LMF5280815,Papio,anubis,"Lake Manyara, Tanzania",S03.37805,E035.83225,F
PD_0240,21LMF2290815,Papio,anubis,"Lake Manyara, Tanzania",S03.40755,E035.83487,F
PD_0241,22LMF5290815,Papio,anubis,"Lake Manyara, Tanzania",S03.39319,E035.82323,F
PD_0242,23LMM1081215,Papio,anubis,"Lake Manyara, Tanzania",S03.47642,E035.77950,M
PD_0243,01TNF1231215,Papio,anubis,"Tarangire, Tanzania",S03.77943,E035.96525,F
PD_0244,04TNF1231215,Papio,anubis,"Tarangire, Tanzania",S03.78172,E035.96652,F
PD_0265,122 / 05TNF11241215,Papio,anubis,"Tarangire, Tanzania",S03.88543,E036.07542,F
PD_0266,123 / 12TNM9251215,Papio,anubis,"Tarangire, Tanzania",S03.78723,E036.04405,M
PD_0267,124 / 17TNM1271215,Papio,anubis,"Tarangire, Tanzania",S03.76815,E036.02072,M
PD_0268,125 / 6MKM1130715,Papio,cynocephalus,"Mikumi, Tanzania",S07.34048,E037.11778,M
PD_0269,126 / 7MKM1140715,Papio,cynocephalus,"Mikumi, Tanzania",S07.35945,E037.05548,M
PD_0270,127 / 8MKF1150715,Papio,cynocephalus,"Mikumi, Tanzania",S07.33710,E037.11446,F
PD_0271,128 /10MKF1150715,Papio,cynocephalus,"Mikumi, Tanzania",S07.31130,E037.17857,F
PD_0272,129 / 11MKF1150715,Papio,cynocephalus,"Mikumi, Tanzania",S07.31127,E037.17862,F
PD_0390,T13,Papio,papio,"Niokolo Koba, Senegal",N13.02622,W013.29440,F
PD_0391,T19,Papio,papio,"Niokolo Koba, Senegal",N13.02622,W013.29440,F
PD_0392,T44,Papio,papio,"Niokolo Koba, Senegal",N13.02622,W013.29440,F
PD_0393,T45,Papio,papio,"Niokolo Koba, Senegal",N13.02622,W013.29440,F
PD_0394,T63,Papio,papio,"Niokolo Koba, Senegal",N13.02622,W013.29440,F
PD_0395,T15,Papio,papio,"Niokolo Koba, Senegal",N13.02622,W013.29440,M
PD_0396,T27,Papio,papio,"Niokolo Koba, Senegal",N13.02622,W013.29440,M
PD_0397,T35,Papio,papio,"Niokolo Koba, Senegal",N13.02622,W013.29440,M
PD_0398,T37,Papio,papio,"Niokolo Koba, Senegal",N13.02622,W013.29440,M
PD_0399,T49,Papio,papio,"Niokolo Koba, Senegal",N13.02622,W013.29440,M
PD_0400,T51,Papio,papio,"Niokolo Koba, Senegal",N13.02622,W013.29440,M
PD_0401,T66,Papio,papio,"Niokolo Koba, Senegal",N13.02622,W013.29440,M
PD_0492,1 / 30LMF5190416,Papio,anubis,"Lake Manyara, Tanzania",S03.62500,E036.39062,F
PD_0493,12 / 08SNM1091115,Papio,anubis,"Serengeti, Tanzania",S02.49063,E034.84278,M
PD_0494,18 / 24SNM5151115,Papio,anubis,"Serengeti, Tanzania",S02.33002,E034.84545,M
PD_0495,19 / 25SNF1161115,Papio,anubis,"Serengeti, Tanzania",S02.08357,E034.63790,F
PD_0496,20 / 26SNM1181115,Papio,anubis,"Serengeti, Tanzania",S02.33135,E034.84513,M
PD_0497,21 / 27SNM1191115,Papio,anubis,"Serengeti, Tanzania",S02.19595,E034.26968,M
