study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	sample_alias
PRJNA755322	SAMN20815192	SRX11910937	SRR15613800	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/000/SRR15613800/SRR15613800_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/000/SRR15613800/SRR15613800_2.fastq.gz	AMB_354
PRJNA755322	SAMN20815039	SRX11910932	SRR15613805	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/005/SRR15613805/SRR15613805_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/005/SRR15613805/SRR15613805_2.fastq.gz	AMB_350
PRJNA755322	SAMN20815308	SRX11910928	SRR15613809	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/009/SRR15613809/SRR15613809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/009/SRR15613809/SRR15613809_2.fastq.gz	AMB_346
PRJNA755322	SAMN20815182	SRX11910927	SRR15613810	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/010/SRR15613810/SRR15613810_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/010/SRR15613810/SRR15613810_2.fastq.gz	AMB_345
PRJNA755322	SAMN20815164	SRX11910891	SRR15613846	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/046/SRR15613846/SRR15613846_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/046/SRR15613846/SRR15613846_2.fastq.gz	AMB_439
PRJNA755322	SAMN20815280	SRX11910922	SRR15613815	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/015/SRR15613815/SRR15613815_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/015/SRR15613815/SRR15613815_2.fastq.gz	AMB_341
PRJNA755322	SAMN20815165	SRX11910886	SRR15613851	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/051/SRR15613851/SRR15613851_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/051/SRR15613851/SRR15613851_2.fastq.gz	AMB_434
PRJNA755322	SAMN20815166	SRX11910915	SRR15613822	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/022/SRR15613822/SRR15613822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/022/SRR15613822/SRR15613822_2.fastq.gz	AMB_334
PRJNA755322	SAMN20815170	SRX11910882	SRR15613855	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/055/SRR15613855/SRR15613855_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/055/SRR15613855/SRR15613855_2.fastq.gz	AMB_431
PRJNA755322	SAMN20815195	SRX11910880	SRR15613857	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/057/SRR15613857/SRR15613857_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/057/SRR15613857/SRR15613857_2.fastq.gz	AMB_429
